ID_Individual	Sex	Mother	Father	Expr1004	Inbreeding	Cohort	Date	Calendar_year	X_Position	Y_Position	Age	Weight	Tail_Length	Body_Length
CN06-001	Female	0	0	2005	0	2005	25/05/2006	2006	65	85	A	34	54	NA
CN06-001	Female	0	0	2005	0	2005	14/06/2006	2006	75	85	A	34	NA	NA
CN06-001	Female	0	0	2005	0	2005	14/06/2006	2006	85	75	A	34	NA	NA
CN06-002	Male	0	0	2004	0	2004	25/05/2006	2006	65	95	A	37	53	NA
CN06-002	Male	0	0	2004	0	2004	14/06/2006	2006	55	135	A	40	53	NA
CN06-002	Male	0	0	2004	0	2004	15/06/2006	2006	45	115	A	36	56	NA
CN06-002	Male	0	0	2004	0	2004	06/07/2006	2006	125	105	A	NA	NA	NA
CN06-002	Male	0	0	2004	0	2004	17/08/2006	2006	155	135	A	43	NA	NA
CN06-003	Female	CN06-013	CN05-M3	2005	0	2005	25/05/2006	2006	55	105	A	30	50	NA
CN06-004	Female	0	0	2005	0	2005	25/05/2006	2006	65	65	A	35	51	NA
CN06-004	Female	0	0	2005	0	2005	14/06/2006	2006	55	85	A	NA	NA	NA
CN06-004	Female	0	0	2005	0	2005	06/07/2006	2006	65	65	A	48	NA	NA
CN06-004	Female	0	0	2005	0	2005	08/08/2006	2006	45	65	A	53	NA	NA
CN06-004	Female	0	0	2005	0	2005	09/08/2006	2006	65	75	A	50	NA	NA
CN06-004	Female	0	0	2005	0	2005	18/08/2006	2006	55	85	A	46	NA	NA
CN06-004	Female	0	0	2005	0	2005	13/09/2006	2006	75	85	A	51	NA	NA
CN06-004	Female	0	0	2005	0	2005	21/09/2006	2006	65	75	A	54	NA	NA
CN06-004	Female	0	0	2005	0	2005	22/09/2006	2006	55	65	A	51	NA	NA
CN06-005	Male	0	0	2005	0	2005	26/05/2006	2006	65	85	A	45	49	NA
CN06-005	Male	0	0	2005	0	2005	14/06/2006	2006	85	115	A	46	55	NA
CN06-005	Male	0	0	2005	0	2005	15/06/2006	2006	75	105	A	50	NA	NA
CN06-005	Male	0	0	2005	0	2005	05/07/2006	2006	115	85	A	52	NA	NA
CN06-005	Male	0	0	2005	0	2005	06/07/2006	2006	125	65	A	51	NA	NA
CN06-005	Male	0	0	2005	0	2005	19/07/2006	2006	155	45	A	53	NA	NA
CN06-005	Male	0	0	2005	0	2005	08/08/2006	2006	145	35	A	51	NA	NA
CN06-005	Male	0	0	2005	0	2005	09/08/2006	2006	135	75	A	46	NA	NA
CN06-005	Male	0	0	2005	0	2005	16/08/2006	2006	145	85	A	49	NA	NA
CN06-005	Male	0	0	2005	0	2005	18/08/2006	2006	145	85	A	49	NA	NA
CN06-005	Male	0	0	2005	0	2005	01/09/2006	2006	165	55	A	50	NA	NA
CN06-006	Male	0	0	2005	0	2005	26/05/2006	2006	95	75	A	35	54	NA
CN06-006	Male	0	0	2005	0	2005	15/06/2006	2006	95	75	A	42	46	NA
CN06-007	Female	0	0	2004	0	2004	14/06/2006	2006	85	105	A	38	54	NA
CN06-007	Female	0	0	2004	0	2004	15/06/2006	2006	85	105	A	37	NA	NA
CN06-007	Female	0	0	2004	0	2004	17/08/2006	2006	95	85	A	37	58	NA
CN06-007	Female	0	0	2004	0	2004	18/08/2006	2006	75	85	A	40	NA	NA
CN06-007	Female	0	0	2004	0	2004	12/09/2006	2006	75	95	A	41	NA	NA
CN06-007	Female	0	0	2004	0	2004	13/09/2006	2006	75	95	A	40	NA	NA
CN06-007	Female	0	0	2004	0	2004	21/09/2006	2006	85	75	A	40	NA	NA
CN06-007	Female	0	0	2004	0	2004	22/09/2006	2006	85	75	A	35	NA	NA
CN06-007	Female	0	0	2004	0	2004	12/06/2007	2007	85	65	A	44	59	119
CN06-007	Female	0	0	2004	0	2004	13/06/2007	2007	65	95	A	44	62	117
